student_id,gender,school_type,location,extracurricular,parent_education,income_level,study_hours_per_day,attendance_pct,sleep_hours,math_score,science_score,english_score,social_score,average_score,grade
STU0001,Female,Private,Rural,Music,Secondary,,4.1,66.2,7.9,85.7,93.1,85.2,77.6,85.4,A
STU0002,Female,Private,Urban,Art,No Schooling,Middle,4.3,70.1,8.3,83.4,80.7,81.0,74.1,79.8,B
STU0003,Female,Private,Urban,Art,Post-Graduate,Middle,4.0,82.7,,86.5,86.3,78.8,73.6,81.3,A
STU0004,Male,Private,Urban,Sports,Graduate,Middle,5.9,85.9,4.8,97.4,94.4,97.2,91.1,95.02,A+
STU0005,Female,Private,Semi-Urban,None,Secondary,Middle,6.9,80.5,7.1,80.3,83.6,82.2,65.1,77.8,B
STU0006,Male,Private,Urban,None,Post-Graduate,Middle,5.0,73.0,8.6,92.1,89.9,77.6,77.8,84.35,A
STU0007,Male,Semi-Private,Urban,Music,Post-Graduate,Low,3.4,66.8,8.8,75.7,85.8,62.4,78.2,75.53,B
STU0008,Male,Government,Urban,Art,Primary,Middle,6.5,100.0,8.2,72.0,67.6,62.7,72.4,68.68,C
STU0009,Female,Semi-Private,Urban,None,Graduate,Middle,2.1,82.2,5.4,89.0,80.7,78.2,89.6,84.38,A
STU0010,Female,Private,Semi-Urban,Music,Graduate,High,3.0,91.3,6.8,77.5,70.6,80.2,65.4,73.43,B
STU0011,Female,Semi-Private,Urban,Music,Primary,Low,1.9,89.9,7.3,63.8,71.0,65.6,50.3,62.68,C
STU0012,Male,Private,Rural,Art,Primary,High,3.4,72.3,7.5,69.0,62.0,64.7,73.6,67.32,C
STU0013,Male,Semi-Private,Rural,Sports,,Low,5.5,78.6,4.9,81.0,73.1,75.2,78.0,76.82,B
STU0014,Male,Private,Rural,Music,Secondary,Low,3.7,68.8,9.5,86.6,91.4,69.9,84.5,83.1,A
STU0015,Female,Government,Rural,Sports,Post-Graduate,Middle,4.1,87.2,8.6,68.5,79.6,72.0,68.1,72.05,B
STU0016,Male,Private,Rural,Art,,Middle,4.5,76.1,,86.5,99.6,80.0,90.2,89.08,A
STU0017,Female,Private,Rural,Music,Primary,Middle,3.7,97.5,7.2,81.4,80.9,65.8,78.1,76.55,B
STU0018,Female,Private,Semi-Urban,Dance,Graduate,Middle,2.3,58.7,6.4,59.8,41.6,42.4,57.3,50.28,D
STU0019,Male,Private,Rural,Art,Primary,Middle,1.5,84.0,8.5,80.1,79.2,62.9,74.4,74.15,B
STU0020,Female,Government,Rural,Art,Secondary,Low,6.0,100.0,5.6,81.2,88.8,74.6,74.6,79.8,B
STU0021,Female,Semi-Private,Urban,Dance,Secondary,Middle,3.0,69.2,7.1,74.6,68.6,48.0,78.7,67.47,C
STU0022,Male,Government,Rural,Art,Secondary,Middle,3.0,79.9,6.0,49.4,46.3,37.6,56.3,47.4,F
STU0023,Male,Private,Rural,Dance,Secondary,Middle,1.8,73.8,7.0,82.9,85.1,79.3,85.4,83.18,A
STU0024,Female,Private,Urban,Dance,Graduate,Middle,3.8,88.8,8.4,99.6,100.0,86.2,73.7,89.88,A
STU0025,Male,Semi-Private,Urban,Art,Secondary,,4.8,54.0,6.2,70.0,64.5,50.3,62.4,61.8,C
STU0026,Male,Private,Semi-Urban,Dance,Graduate,High,3.5,63.6,7.2,71.4,78.2,60.6,58.9,67.28,C
STU0027,Female,Private,Rural,Dance,Primary,High,4.5,66.1,6.8,55.1,59.7,51.1,65.2,57.78,D
